experiment,instrument,family,is_selected_family,threshold,n,accuracy,precision,recall,f1,avg_precision,brier,log_loss,roc_auc,tn,fp,fn,tp
+ signal_history,rb1s,adaboost,1,0.6,123.0,0.34959349593495936,0.0,0.0,0.0,0.7223721907625302,0.3376070243928776,0.8904495657156163,0.6196220930232558,43.0,0.0,80.0,0.0
+ signal_history,rb1s,adaboost,1,0.65,123.0,0.34959349593495936,0.0,0.0,0.0,0.7223721907625302,0.3376070243928776,0.8904495657156163,0.6196220930232558,43.0,0.0,80.0,0.0
+ signal_history,rb1s,adaboost,1,0.7,123.0,0.34959349593495936,0.0,0.0,0.0,0.7223721907625302,0.3376070243928776,0.8904495657156163,0.6196220930232558,43.0,0.0,80.0,0.0
+ signal_history,rb1s,mlp,0,0.5,123.0,0.4715447154471545,0.8947368421052632,0.2125,0.3434343434343434,0.8434904093868167,0.3780315027516612,1.1476218926211452,0.7351744186046513,41.0,2.0,63.0,17.0
+ signal_history,rb1s,mlp,0,0.55,123.0,0.4634146341463415,0.9375,0.1875,0.3125,0.8434904093868167,0.3780315027516612,1.1476218926211452,0.7351744186046513,42.0,1.0,65.0,15.0
+ signal_history,rb1s,mlp,0,0.6,123.0,0.44715447154471544,0.9285714285714286,0.1625,0.2765957446808511,0.8434904093868167,0.3780315027516612,1.1476218926211452,0.7351744186046513,42.0,1.0,67.0,13.0
+ signal_history,rb1s,mlp,0,0.65,123.0,0.43902439024390244,1.0,0.1375,0.24175824175824176,0.8434904093868167,0.3780315027516612,1.1476218926211452,0.7351744186046513,43.0,0.0,69.0,11.0
+ signal_history,rb1s,mlp,0,0.7,123.0,0.4065040650406504,1.0,0.0875,0.16091954022988506,0.8434904093868167,0.3780315027516612,1.1476218926211452,0.7351744186046513,43.0,0.0,73.0,7.0
+ signal_history,ng1s,logistic,0,0.5,56.0,0.44642857142857145,0.3333333333333333,0.55,0.41509433962264153,0.40304747219649345,0.49393178937291077,2.7213624133944885,0.4833333333333334,14.0,22.0,9.0,11.0
+ signal_history,ng1s,logistic,0,0.55,56.0,0.44642857142857145,0.3333333333333333,0.55,0.41509433962264153,0.40304747219649345,0.49393178937291077,2.7213624133944885,0.4833333333333334,14.0,22.0,9.0,11.0
+ signal_history,ng1s,logistic,0,0.6,56.0,0.4642857142857143,0.34375,0.55,0.4230769230769231,0.40304747219649345,0.49393178937291077,2.7213624133944885,0.4833333333333334,15.0,21.0,9.0,11.0
+ signal_history,ng1s,logistic,0,0.65,56.0,0.4642857142857143,0.34375,0.55,0.4230769230769231,0.40304747219649345,0.49393178937291077,2.7213624133944885,0.4833333333333334,15.0,21.0,9.0,11.0
+ signal_history,ng1s,logistic,0,0.7,56.0,0.4642857142857143,0.34375,0.55,0.4230769230769231,0.40304747219649345,0.49393178937291077,2.7213624133944885,0.4833333333333334,15.0,21.0,9.0,11.0
+ signal_history,ng1s,random_forest,0,0.5,56.0,0.3392857142857143,0.32653061224489793,0.8,0.463768115942029,0.5229853006810312,0.3644225443723061,0.9486203242070486,0.5597222222222222,3.0,33.0,4.0,16.0
