experiment,instrument,family,params,validation_threshold,selection_score,validation_n,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_avg_precision,validation_brier,validation_log_loss,validation_roc_auc,validation_tn,validation_fp,validation_fn,validation_tp,validation_tuned_n,validation_tuned_threshold,validation_tuned_accuracy,validation_tuned_precision,validation_tuned_recall,validation_tuned_f1,validation_tuned_avg_precision,validation_tuned_brier,validation_tuned_log_loss,validation_tuned_roc_auc,validation_tuned_tn,validation_tuned_fp,validation_tuned_fn,validation_tuned_tp,n_train,n_validation,selected_family,is_selected
baseline,fesx1s,extra_trees,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 300}",0.5,0.6063012295081966,125.0,0.528,0.5641025641025641,0.34375,0.42718446601941745,0.5826386185325424,0.24382632163808599,0.6807326384985163,0.6063012295081966,44.0,17.0,42.0,22.0,125.0,0.41000000000000003,0.552,0.5333333333333333,1.0,0.6956521739130435,0.5826386185325424,0.24382632163808599,0.6807326384985163,0.6063012295081966,5.0,56.0,0.0,64.0,375,125,extra_trees,0
baseline,fesx1s,extra_trees,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""n_estimators"": 300}",0.5,0.6454918032786885,125.0,0.536,0.5789473684210527,0.34375,0.43137254901960786,0.6084326837611782,0.24023476766785745,0.6734234000889439,0.6454918032786885,45.0,16.0,42.0,22.0,125.0,0.41000000000000003,0.608,0.5742574257425742,0.90625,0.703030303030303,0.6084326837611782,0.24023476766785745,0.6734234000889439,0.6454918032786885,18.0,43.0,6.0,58.0,375,125,extra_trees,1
baseline,fesx1s,hist_gradient_boosting,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 120, ""max_leaf_nodes"": 7}",0.5,0.6078381147540983,125.0,0.536,0.5357142857142857,0.703125,0.6081081081081081,0.6673225910167321,0.2495628204553219,0.6922604947459736,0.6078381147540983,22.0,39.0,19.0,45.0,125.0,0.3,0.52,0.5166666666666667,0.96875,0.6739130434782609,0.6673225910167321,0.2495628204553219,0.6922604947459736,0.6078381147540983,3.0,58.0,2.0,62.0,375,125,extra_trees,0
baseline,fesx1s,hist_gradient_boosting,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 120, ""max_leaf_nodes"": 15}",0.5,0.5776127049180328,125.0,0.552,0.5512820512820513,0.671875,0.6056338028169014,0.6233512866325793,0.2814649923023657,0.7856089935364178,0.5776127049180328,26.0,35.0,21.0,43.0,125.0,0.32,0.536,0.5294117647058824,0.84375,0.6506024096385542,0.6233512866325793,0.2814649923023657,0.7856089935364178,0.5776127049180328,13.0,48.0,10.0,54.0,375,125,extra_trees,0
baseline,fesx1s,adaboost,"{""learning_rate"": 0.05, ""n_estimators"": 120}",0.5,0.5213883196721312,125.0,0.488,0.5,0.390625,0.43859649122807015,0.5278293896958964,0.27084280287194545,0.7397572085233757,0.5213883196721312,36.0,25.0,39.0,25.0,125.0,0.41000000000000003,0.56,0.5420560747663551,0.90625,0.6783625730994152,0.5278293896958964,0.27084280287194545,0.7397572085233757,0.5213883196721312,12.0,49.0,6.0,58.0,375,125,extra_trees,0
baseline,fesx1s,mlp,"{""alpha"": 0.001, ""hidden_layer_sizes"": [24], ""learning_rate_init"": 0.001}",0.5,0.5412397540983606,125.0,0.584,0.5769230769230769,0.703125,0.6338028169014085,0.5138514737309549,0.2707502624089119,0.7529248766544345,0.5412397540983606,28.0,33.0,19.0,45.0,125.0,0.35,0.552,0.5370370370370371,0.90625,0.6744186046511628,0.5138514737309549,0.2707502624089119,0.7529248766544345,0.5412397540983606,11.0,50.0,6.0,58.0,375,125,extra_trees,0
baseline,cl1s,logistic,"{""C"": 0.1}",0.5,0.30070754716981135,101.0,0.39603960396039606,0.4444444444444444,0.6037735849056604,0.512,0.42991725654213464,0.40623052509569224,1.1356235217107744,0.30070754716981135,8.0,40.0,21.0,32.0,101.0,0.25,0.49504950495049505,0.5104166666666666,0.9245283018867925,0.6577181208053692,0.42991725654213464,0.40623052509569224,1.1356235217107744,0.30070754716981135,1.0,47.0,4.0,49.0,221,101,random_forest,0
baseline,cl1s,logistic,"{""C"": 1.0}",0.5,0.2413522012578616,101.0,0.39603960396039606,0.45,0.6792452830188679,0.5413533834586466,0.4011016632226806,0.5220350520307082,2.183663488333917,0.2413522012578616,4.0,44.0,17.0,36.0,101.0,0.25,0.44554455445544555,0.48314606741573035,0.8113207547169812,0.6056338028169014,0.4011016632226806,0.5220350520307082,2.183663488333917,0.2413522012578616,2.0,46.0,10.0,43.0,221,101,random_forest,0
baseline,cl1s,random_forest,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 300}",0.5,0.48309748427672955,101.0,0.46534653465346537,0.4915254237288136,0.5471698113207547,0.5178571428571429,0.5878807026141708,0.25844337405376283,0.7101330215112704,0.48309748427672955,18.0,30.0,24.0,29.0,101.0,0.25,0.5247524752475248,0.5247524752475248,1.0,0.6883116883116883,0.5878807026141708,0.25844337405376283,0.7101330215112704,0.48309748427672955,0.0,48.0,0.0,53.0,221,101,random_forest,1
baseline,cl1s,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""n_estimators"": 300}",0.5,0.4547955974842767,101.0,0.40594059405940597,0.4492753623188406,0.5849056603773585,0.5081967213114754,0.5693433974603669,0.26809648158949134,0.729947113297883,0.4547955974842767,10.0,38.0,22.0,31.0,101.0,0.25,0.5247524752475248,0.5247524752475248,1.0,0.6883116883116883,0.5693433974603669,0.26809648158949134,0.729947113297883,0.4547955974842767,0.0,48.0,0.0,53.0,221,101,random_forest,0
